trace_id,test_id,category,meta_category,success,total_input_tokens,total_output_tokens,total_thinking_tokens,avg_input_tokens_per_step,avg_output_tokens_per_step,avg_thinking_tokens_per_step,total_llm_latency_sec,step_count,turn_count,error,runtime_error_count,tool_error_count,tool_call_count,avg_tool_calls_per_turn,redundant_tool_calls,context_growth_total,avg_context_growth_per_turn,avg_context_growth_per_step,self_corrected_runtime,self_corrected_tool,avg_input_tokens_per_turn,avg_output_tokens_per_turn,avg_thinking_tokens_per_turn,avg_llm_latency_per_turn_sec,avg_llm_latency_per_step_sec,total_cost
000bf2f874009bab78d4e22120cd155e,irrelevance_146,irrelevance,irrelevance,1,1024,16,0,1024.0,16.0,0.0,1.298,1,1,0,0,0,0,0.0,0,1024,1024.0,0.0,0,0,1024.0,16.0,0.0,1.298,1.298,0
002a71d9d4f6a3634619af1f68009079,live_multiple_689-164-5,live_multiple,single_turn,1,1523,61,0,1523.0,61.0,0.0,1.65,1,1,0,0,0,1,1.0,0,1523,1523.0,0.0,0,0,1523.0,61.0,0.0,1.65,1.65,0
002b2b6fb0fe8519ca89c8e0cfa058e5,live_multiple_154-58-8,live_multiple,single_turn,1,2775,64,0,2775.0,64.0,0.0,3.25,1,1,0,0,0,1,1.0,0,2775,2775.0,0.0,0,0,2775.0,64.0,0.0,3.25,3.25,0
004355728557d3b3aa44a2f3c4ebfcb4,live_multiple_227-101-0,live_multiple,single_turn,1,1700,104,0,1700.0,104.0,0.0,3.762,1,1,0,0,0,1,1.0,0,1700,1700.0,0.0,0,0,1700.0,104.0,0.0,3.762,3.762,0
00495f535e9ef9ce4ce2554c65303472,live_simple_188-113-0,live_simple,single_turn,1,1280,80,0,1280.0,80.0,0.0,2.409,1,1,0,0,0,1,1.0,0,1280,1280.0,0.0,0,0,1280.0,80.0,0.0,2.409,2.409,0
00682ab03aae70857b941682a0e2d77c,live_multiple_1001-232-0,live_multiple,single_turn,0,2811,46,0,1405.5,23.0,0.0,3.931,2,1,0,0,0,1,1.0,0,159,159.0,159.0,0,0,2811.0,46.0,0.0,3.931,1.9655,0
007f02662752a8c8db2aa68ffb85b123,multi_turn_miss_param_126,multi_turn_miss_param,multi_turn,0,33666,446,0,3740.6666666666665,49.55555555555556,0.0,161.19699999999997,9,5,0,0,0,4,0.8,3,721,180.25,90.125,0,0,6733.2,89.2,0.0,32.239399999999996,17.910777777777774,0
007f7684bdf98d7c5409ca40d1c97040,irrelevance_114,irrelevance,irrelevance,1,1008,22,0,1008.0,22.0,0.0,1.616,1,1,0,0,0,0,0.0,0,1008,1008.0,0.0,0,0,1008.0,22.0,0.0,1.616,1.616,0
008c459790b6655285ffd179d0f83a9e,live_multiple_139-53-1,live_multiple,single_turn,1,1278,42,0,1278.0,42.0,0.0,3.255,1,1,0,0,0,1,1.0,0,1278,1278.0,0.0,0,0,1278.0,42.0,0.0,3.255,3.255,0
0096d35a79d8237d0722af9d7dfd72b5,live_multiple_411-141-0,live_multiple,single_turn,1,1614,59,0,1614.0,59.0,0.0,2.624,1,1,0,0,0,1,1.0,0,1614,1614.0,0.0,0,0,1614.0,59.0,0.0,2.624,2.624,0
00b1c34fd9f12dc0e540323a515b5788,multi_turn_miss_param_50,multi_turn_miss_param,multi_turn,1,18614,161,0,4653.5,40.25,0.0,76.131,4,2,0,0,0,2,1.0,1,258,258.0,86.0,0,0,9307.0,80.5,0.0,38.0655,19.03275,0
00cbe09b00a43cde94262f3432c58e33,live_simple_182-107-0,live_simple,single_turn,1,1153,83,0,1153.0,83.0,0.0,2.6879999999999997,1,1,0,0,0,1,1.0,0,1153,1153.0,0.0,0,0,1153.0,83.0,0.0,2.6879999999999997,2.6879999999999997,0
00e4ad43461113571396c3e1dceb3802,simple_python_20,simple_python,single_turn,1,978,43,0,978.0,43.0,0.0,2.209,1,1,0,0,0,1,1.0,0,978,978.0,0.0,0,0,978.0,43.0,0.0,2.209,2.209,0
01105705f0c9f0c967ff34ff6ed2448f,multi_turn_miss_param_87,multi_turn_miss_param,multi_turn,0,49062,633,0,4906.2,63.3,0.0,203.59900000000002,10,5,0,0,1,5,1.0,4,963,240.75,107.0,0,0,9812.4,126.6,0.0,40.719800000000006,20.359900000000003,0
0133e8fea44f57edf6decf87dd2e587c,simple_python_382,simple_python,single_turn,0,1066,71,0,1066.0,71.0,0.0,3.3970000000000002,1,1,0,0,0,1,1.0,0,1066,1066.0,0.0,0,0,1066.0,71.0,0.0,3.3970000000000002,3.3970000000000002,0
0136507d17f219aa0733892b8ad0585d,irrelevance_191,irrelevance,irrelevance,1,1005,33,0,1005.0,33.0,0.0,1.8900000000000001,1,1,0,0,0,0,0.0,0,1005,1005.0,0.0,0,0,1005.0,33.0,0.0,1.8900000000000001,1.8900000000000001,0
01437b4c4772dcc70491846a096d6f62,multi_turn_base_59,multi_turn_base,multi_turn,0,66947,519,0,6694.7,51.9,0.0,136.56,10,5,0,0,1,5,1.0,4,865,216.25,96.11111111111111,0,0,13389.4,103.8,0.0,27.312,13.656,0
